# Data from Clarivate Analytics' Web of Science, retrieved 1 December 2018
# This file generated on 2018-12-05 11:28:19
item,id,year,title,AU,SO,DE
63,WOS:000410853200004,2017,Integrated modeling of single port brine discharges into unstratified stagnant ambient,"Nikiforakis, I. K.|Stamou, A. I.|Christodoulou, G. C.",ENVIRONMENTAL FLUID MECHANICS,desalination|brine discharges|near-field models|far-field models|integrated models
64,WOS:000376805300029,2016,Integrated modelling approach for the evaluation of low emission zones,"Dias, Daniela|Tchepel, Oxana|Antunes, Antonio Pais",JOURNAL OF ENVIRONMENTAL MANAGEMENT,low emission zones|traffic-related air pollution|transportation modelling|emissions modelling|air quality modelling|impact evaluation
65,WOS:000358671900015,2015,Hydrological response to environment change in Himalayan watersheds: Assessment from integrated modeling approach,"Ahmad, Zulfiqar|Ashraf, Arshad|Zaheer, Muhammad|Bashir, Humaira",JOURNAL OF MOUNTAIN SCIENCE,hydrological modeling|deforestation|soan river|simly|khanpur watershed|land use
66,WOS:000405800600020,2017,Distributional impacts of climate change on basin communities: an integrated modeling approach,"Ponce, Roberto D.|Fernandez, Francisco|Stehr, Alejandra|Vasquez-Lavin, Felipe|Godoy-Faundez, Alex",REGIONAL ENVIRONMENTAL CHANGE,hydro-economic model|climate change|agriculture|irrigation|hydrology
67,WOS:000398996206068,2015,ASSESSING THE IMPLICATIONS FOR URBAN DRAINAGE INFRASTRUCTURE OF FUTURE SCENARIOS OF URBAN GROWTH WITH CELLULAR AUTOMATA,"Torres, Sanchez A.|Vojinovic, Z.|Mynett, A.|Medina, N.|Mynett, A",PROCEEDINGS OF THE 36TH IAHR WORLD CONGRESS,urban growth|land use change modeling|cellular automata|genetic algorithms
68,WOS:000334111600027,2014,Finite volume integrated surface- subsurface flow modeling on nonorthogonal grids,"An, Hyunuk|Yu, Soonyoung",WATER RESOURCES RESEARCH,surface|subsurface interaction|integrated modeling|finite volume model|coordinate transformation method|topographical effects
69,WOS:000345474800010,2014,Identifying the drivers of environmental risk through a model integrating substance flow and input-output analysis,"Chen, Pi-Cheng|Crawford-Brown, Douglas|Chang, Chi-Hui|Ma, Hwong-wen",ECOLOGICAL ECONOMICS,substance flow analysis|environmental risk assessment|input-output analysis
70,WOS:000212556300006,2015,"Cloud to coast: integrated assessment of environmental exposure, health impacts and risk perceptions of faecal organisms in coastal waters","Huang, Guoxian|Falconer, Roger A.|Boye, Brian A.|Lin, Binliang",INTERNATIONAL JOURNAL OF RIVER BASIN MANAGEMENT,cloud to coast (c2c)|faecal indicator organisms|river ribble|environmental exposure and health impacts|numerical modelling|quantitative microbial risk assessment (qmra)
71,WOS:000212559700004,2015,System dynamics and hydrodynamic modelling approaches for spatial and temporal analysis of flood risk,"Ahmad, Shohan S.|Simonovic, Slobodan P.",INTERNATIONAL JOURNAL OF RIVER BASIN MANAGEMENT,risk analysis|2d hydrodynamic model|system dynamics simulation|spatial and temporal uncertainty|3d fuzzy set|reliability index
72,WOS:000347313600015,2014,Technical Note: Reducing the spin-up time of integrated surface water-groundwater models,"Ajami, H.|Evans, J. P.|McCabe, M. F.|Stisen, S.",HYDROLOGY AND EARTH SYSTEM SCIENCES,
73,WOS:000410535400168,2015,Integrated modelling to aid strategic urban and regional planning,"Wickramasuriya, Rohan|Perez, Pascal|Huynh, Nam|Masouman, Ashkan|Barthelemy, Johan|Weber, T|McPhee, MJ|Anderssen, RS",21ST INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION (MODSIM2015),urban planning|land use|transportation|input-output model|synthetic population
74,WOS:000343862400009,2014,A multi-storage groundwater concept for the SWAT model to emphasize nonlinear groundwater dynamics in lowland catchments,"Pfannerstill, Matthias|Guse, Bjoern|Fohrer, Nicola",HYDROLOGICAL PROCESSES,swat|groundwater modelling|multi-storage concept|low flows|lowland catchment
75,WOS:000331395900044,2014,Assessment of potential outburst floods from the Tsho Rolpa glacial lake in Nepal,"Shrestha, Badri Bhakta|Nakagawa, Hajime",NATURAL HAZARDS,integrated modeling system|the tsho rolpa glacial lake|moraine dam failure|seepage flow|water overtopping|possible threats|damages
76,WOS:000372199500011,2016,Impact of the ambient air quality due to the dispersion of non-methane organic compounds from Barka Landfill,"Abdul-Wahab, S. A.|Al-Hajri, A.|Yetilmezsoy, K.",INTERNATIONAL JOURNAL OF ENVIRONMENTAL SCIENCE AND TECHNOLOGY,calpuff|dispersion|landfill|modeling|non-methane organic compounds
77,WOS:000331346300005,2014,"Modeling soil erosion and river sediment yield for an intermountain drainage basin of the Central Apennines, Italy","Borrelli, Pasquale|Maerker, Michael|Panagos, Panos|Schuett, Brigitta",CATENA,soil erosion risk|rusle|turbidity unit index|landscape sensitivity|central italy
78,WOS:000345025000012,2014,Surface water quality and cropping systems sustainability under a changing climate in the Upper Mississippi River Basin,"Panagopoulos, Y.|Gassman, P. W.|Arritt, R. W.|Herzmann, D. E.|Campbell, T. D.|Jha, M. K.|Kling, C. L.|Srinivasan, R.|White, M.|Arnold, J. G.",JOURNAL OF SOIL AND WATER CONSERVATION,agricultural management scenarios|climate change|corn based systems|nonpoint pollution|soil and water assessment tool|upper mississippi river basin
