,AU,year,title,journal,citations,DOI link
1,"Brown, JD|Heuvelink, GBM",2007,The Data Uncertainty Engine (DUE): A software tool for assessing and simulating uncertain environmental variables,COMPUTERS & GEOSCIENCES,53,https://dx.doi.org/10.1016/j.cageo.2006.06.015
11,"Zambrano-Bigiarini, M|Rojas, R",2013,A model-independent Particle Swarm Optimisation software for model calibration,ENVIRONMENTAL MODELLING & SOFTWARE,47,https://dx.doi.org/10.1016/j.envsoft.2013.01.004
17,"Novak, D|Vorechovsky, M|Teply, B",2014,FReET: Software for the statistical and reliability analysis of engineering problems and FReET-D: Degradation module,ADVANCES IN ENGINEERING SOFTWARE,28,https://dx.doi.org/10.1016/j.advengsoft.2013.06.011
2,"Hamm, NAS|Hall, JW|Anderson, MG",2006,Variance-based sensitivity analysis of the probability of hydrologically induced slope instability,COMPUTERS & GEOSCIENCES,23,https://dx.doi.org/10.1016/j.cageo.2005.10.007
12,"Necpalova, M|Anex, RP|Fienen, MN|Del Grosso, SJ|Castellano, MJ|Sawyer, JE|Iqbal, J|Pantoja, JL|Barker, DW",2015,"Understanding the Day Cent model: Calibration, sensitivity, and identifiability through inverse modeling",ENVIRONMENTAL MODELLING & SOFTWARE,21,https://dx.doi.org/10.1016/j.envsoft.2014.12.011
28,"He, X|Sonnenborg, TO|Jorgensen, F|Hoyer, AS|Moller, RR|Jensen, KH",2013,Analyzing the effects of geological and parameter uncertainty on prediction of groundwater head and travel time,HYDROLOGY AND EARTH SYSTEM SCIENCES,20,https://dx.doi.org/10.5194/hess-17-3245-2013
13,"Merritt, WS|Croke, BFW|Jakeman, AJ",2005,Sensitivity testing of a model for exploring water resources utilisation and management options,ENVIRONMENTAL MODELLING & SOFTWARE,18,https://dx.doi.org/10.1016/j.envsoft.2004.09.011
14,"Qin, XB|Wang, H|Li, YE|Li, Y|McConkey, B|Lemke, R|Li, CS|Brandt, K|Gao, QZ|Wan, YF|Liu, S|Liu, YT|Xu, C",2013,A long-term sensitivity analysis of the denitrification and decomposition model,ENVIRONMENTAL MODELLING & SOFTWARE,14,https://dx.doi.org/10.1016/j.envsoft.2013.01.005
15,"Fragoso, CR|van Nes, EH|Janse, JH|Marques, DD",2009,IPH-TRIM3D-PCLake: A three-dimensional complex dynamic model for subtropical aquatic ecosystems,ENVIRONMENTAL MODELLING & SOFTWARE,11,https://dx.doi.org/10.1016/j.envsoft.2009.05.006
29,"Achete, FM|van der Wegen, M|Roelvink, D|Jaffe, B",2015,A 2-D process-based model for suspended sediment dynamics: a first step towards ecological modeling,HYDROLOGY AND EARTH SYSTEM SCIENCES,10,https://dx.doi.org/10.5194/hess-19-2837-2015
23,"Trigg, MA|Cook, PG|Brunner, P",2014,Groundwater fluxes in a shallow seasonal wetland pond: The effect of bathymetric uncertainty on predicted water and solute balances,JOURNAL OF HYDROLOGY,9,https://dx.doi.org/10.1016/j.jhydrol.2014.06.020
24,"Saloranta, TM",2016,Operational snow mapping with simplified data assimilation using the seNorge snow model,JOURNAL OF HYDROLOGY,8,https://dx.doi.org/10.1016/j.jhydrol.2016.03.061
