,AU,SO,copyright,title,year
94,"Moftakhari, A|Aghanajafi, C|Ghazvin, AMC",INVERSE PROBLEMS IN SCIENCE AND ENGINEERING,,Inverse heat transfer analysis of radiator central heating systems inside residential buildings using sensitivity analysis,2017
95,"Saloranta, TM",JOURNAL OF HYDROLOGY, (C) 2016 Elsevier B.V. All rights reserved.,Operational snow mapping with simplified data assimilation using the seNorge snow model,2016
96,"Necpalova, M|Anex, RP|Fienen, MN|Del Grosso, SJ|Castellano, MJ|Sawyer, JE|Iqbal, J|Pantoja, JL|Barker, DW",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/).,"Understanding the Day Cent model: Calibration, sensitivity, and identifiability through inverse modeling",2015
97,"Mevissen, N|Schulzke, T|Unger, CA|Mac an Bhaird, S",ENVIRONMENTAL PROGRESS & SUSTAINABLE ENERGY," (C) 2009 American institute of Chemical Engineers Environ Prog, 28: 347-354, 2009",Thermodynamics of Autothermal Wood Gasification,2009
98,"Lu, B|Ou, HA|Cui, ZS",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Shape optimisation of preform design for precision close-die forging,2011
99,"Ganguly, A|Patel, SK",APPLIED SOFT COMPUTING, (C) 2014 Elsevier B.V. All rights reserved.,A teaching-learning based optimization approach for economic design of X-bar control chart,2014
100,"Chen, BS|Gu, YX|Zhang, HW|Zhao, GZ",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING," Copyright (C) 2003 John Wiley Sons, Ltd.",Structural design optimization on thermally induced vibration,2003
101,"Huber, C|Ryan, L|O Gallachoir, B|Resch, G|Polaski, K|Bazilian, M",ENERGY POLICY, (c) 2006 Published by Elsevier Ltd.,Economic modelling of price support mechanisms for renewable energy: Case study on Ireland,2007
102,"Feinberg, J|Langtangen, HP",JOURNAL OF COMPUTATIONAL SCIENCE, Published by Elsevier B.V.,Chaospy: An open source tool for designing methods of uncertainty quantification,2015
103,"Zhang, YN|Brown, TR|Hu, GP|Brown, RC",CHEMICAL ENGINEERING JOURNAL, (c) 2013 Published by Elsevier B.V.,Techno-economic analysis of two bio-oil upgrading pathways,2013
104,"Viot, H|Sempey, A|Pauly, M|Mora, L",BUILDING AND ENVIRONMENT, (C) 2015 Published by Elsevier Ltd.,Comparison of different methods for calculating thermal bridges: Application to wood-frame buildings,2015
105,"Dimitriou, I|Garcia-Gutierrez, P|Elder, RH|Cuellar-Franca, RM|Azapagic, A|Allen, RWK",ENERGY & ENVIRONMENTAL SCIENCE,,Carbon dioxide utilisation for production of transport fuels: process and economic analysis,2015
106,"Quan, G|Conte, JP|Elgamal, A|Yang, ZH",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING, (C) 2009 Elsevier B.V. All rights reserved.,Finite element response sensitivity analysis of multi-yield-surface J(2) plasticity model by direct differentiation method,2009
107,"Yalew, S|van Griensven, A|Ray, N|Kokoszkiewicz, L|Betrie, GD",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,Distributed computation of large scale SWAT models on the Grid,2013
108,"Jamshidian, M|Yuan, KH",JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION,,Data-driven sensitivity analysis to detect missing data mechanism with applications to structural equation modelling,2013
109,"Panayirci, HM",ADVANCES IN ENGINEERING SOFTWARE, Elsevier Ltd. All rights reserved.,Efficient solution for Galerkin-based polynomial chaos expansion systems,2010
110,"Barca, E|Porcu, E|Bruno, D|Passarella, G",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,An automated decision support system for aided assessment of variogram models,2017
111,"Henrion, M|Bernstein, B|Swamy, S",INTEGRATED ENVIRONMENTAL ASSESSMENT AND MANAGEMENT, (C) 2015 SETAC,A Multi-Attribute Decision Analysis for Decommissioning Offshore Oil and Gas Platforms,2015
112,"Arnst, M|Ponthot, JP",INTERNATIONAL JOURNAL FOR UNCERTAINTY QUANTIFICATION,,"AN OVERVIEW OF NONINTRUSIVE CHARACTERIZATION, PROPAGATION, AND SENSITIVITY ANALYSIS OF UNCERTAINTIES IN COMPUTATIONAL MECHANICS",2014
