AU,year,title,journal,citations,DOI link
"Kang, Z | Wang, YQ",2013,Integrated topology optimization with embedded movable holes based on combined description by material density and level sets,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,28,https://dx.doi.org/10.1016/j.cma.2012.11.006
"Yang, XF | Liu, YS | Gao, Y | Zhang, YS | Gao, ZZ",2015,An active learning kriging model for hybrid reliability analysis with both random and interval variables,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,28,https://dx.doi.org/10.1007/s00158-014-1189-5
"Gao, L | Bryan, BA | Nolan, M | Connor, JD | Song, XD | Zhao, G",2016,Robust global sensitivity analysis under deep uncertainty via scenario analysis,ENVIRONMENTAL MODELLING & SOFTWARE,28,https://dx.doi.org/10.1016/j.envsoft.2015.11.001
"Martin, CA | Gates, TK",2014,Uncertainty of canal seepage losses estimated using flowing water balance with acoustic Doppler devices,JOURNAL OF HYDROLOGY,28,https://dx.doi.org/10.1016/j.jhydrol.2014.05.074
"Yalew, S | van Griensven, A | Ray, N | Kokoszkiewicz, L | Betrie, GD",2013,Distributed computation of large scale SWAT models on the Grid,ENVIRONMENTAL MODELLING & SOFTWARE,27,https://dx.doi.org/10.1016/j.envsoft.2012.08.002
"Smith, T | Marshall, L | Sharma, A",2015,Modeling residual hydrologic errors with Bayesian inference,JOURNAL OF HYDROLOGY,27,https://dx.doi.org/10.1016/j.jhydrol.2015.05.051
"Schilling, OS | Doherty, J | Kinzelbach, W | Wang, H | Yang, PN | Brunner, P",2014,Using tree ring data as a proxy for transpiration to reduce predictive uncertainty of a model simulating groundwater-surface water-vegetation interactions,JOURNAL OF HYDROLOGY,27,https://dx.doi.org/10.1016/j.jhydrol.2014.08.063
"Fancello, EA",2006,Topology optimization for minimum mass design considering local failure constraints and contact boundary conditions,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,27,https://dx.doi.org/10.1007/s00158-006-0019-9
"Khiewwijit, R | Temmink, H | Rijnaarts, H | Keesman, KJ",2015,Energy and nutrient recovery for municipal wastewater treatment: How to design a feasible plant layout?,ENVIRONMENTAL MODELLING & SOFTWARE,27,https://dx.doi.org/10.1016/j.envsoft.2015.02.011
"Richards, R | Sano, M | Roiko, A | Carter, RW | Bussey, M | Matthews, J | Smith, TF",2013,Bayesian belief modeling of climate change impacts for informing regional adaptation options,ENVIRONMENTAL MODELLING & SOFTWARE,27,https://dx.doi.org/10.1016/j.envsoft.2012.07.008
"Moreau, P | Viaud, V | Parnaudeau, V | Salmon-Monviola, J | Durand, P",2013,An approach for global sensitivity analysis of a complex environmental model to spatial inputs and parameters: A case study of an agro-hydrological model,ENVIRONMENTAL MODELLING & SOFTWARE,27,https://dx.doi.org/10.1016/j.envsoft.2013.04.006
"Deng, YB | Liu, ZY | Wu, JF | Wu, YH",2013,Topology optimization of steady Navier-Stokes flow with body force,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,27,https://dx.doi.org/10.1016/j.cma.2012.11.015
"Zhang, J | Zhang, WH | Zhu, JH | Xia, L",2012,Integrated layout design of multi-component systems using XFEM and analytical sensitivity analysis,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,27,https://dx.doi.org/10.1016/j.cma.2012.06.022
"Takewaki, I",2000,An approach to stiffness-damping simultaneous optimization,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,27,https://dx.doi.org/10.1016/S0045-7825(99)00321-7
"Ammar, A | Huerta, A | Chinesta, F | Cueto, E | Leygue, A",2014,Parametric solutions involving geometry: A step towards efficient shape optimization,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,27,https://dx.doi.org/10.1016/j.cma.2013.09.003
"Feijoo, RA | Padra, C | Saliba, R | Taroco, E | Venere, MJ",2000,Shape sensitivity analysis for energy release rate evaluation and its application to the study of three-dimensional cracked bodies,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,27,https://dx.doi.org/10.1016/S0045-7825(99)00353-9
"Sun, SA | Fu, GT | Djordjevic, S | Khu, ST",2012,Separating aleatory and epistemic uncertainties: Probabilistic sewer flooding evaluation using probability box,JOURNAL OF HYDROLOGY,27,https://dx.doi.org/10.1016/j.jhydrol.2011.12.027
"Hvejsel, CF | Lund, E | Stolpe, M",2011,Optimization strategies for discrete multi-material stiffness optimization,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,27,https://dx.doi.org/10.1007/s00158-011-0648-5
"Burger, G | Sitzenfrei, R | Kleidorfer, M | Rauch, W",2014,Parallel flow routing in SWMM 5,ENVIRONMENTAL MODELLING & SOFTWARE,27,https://dx.doi.org/10.1016/j.envsoft.2013.11.002
"Fu, GT | Butler, D | Khu, ST | Sun, SA",2011,Imprecise probabilistic evaluation of sewer flooding in urban drainage systems using random set theory,WATER RESOURCES RESEARCH,27,https://dx.doi.org/10.1029/2009WR008944
"Kelleher, C | Wagener, T | McGlynn, B | Ward, AS | Gooseff, MN | Payn, RA",2013,Identifiability of transient storage model parameters along a mountain stream,WATER RESOURCES RESEARCH,27,https://dx.doi.org/10.1002/wrcr.20413
"Ballard, CE | McIntyre, N | Wheater, HS | Holden, J | Wallage, ZE",2011,Hydrological modelling of drained blanket peatland,JOURNAL OF HYDROLOGY,27,https://dx.doi.org/10.1016/j.jhydrol.2011.07.005
"Perrin, J | Jeannin, PY | Cornaton, F",2007,"The role of tributary mixing in chemical variations at a karst spring, Milandre, Switzerland",JOURNAL OF HYDROLOGY,27,https://dx.doi.org/10.1016/j.jhydrol.2006.06.027
"Lucas, LJ | Owhadi, H | Ortiz, M",2008,"Rigorous verification, validation, uncertainty quantification and certification through concentration-of-measure inequalities",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,26,https://dx.doi.org/10.1016/j.cma.2008.06.008
"Pervez, MS | Henebry, GM",2014,Projections of the Ganges-Brahmaputra precipitation Downscaled from GCM predictors,JOURNAL OF HYDROLOGY,26,https://dx.doi.org/10.1016/j.jhydrol.2014.05.016
"Schmadel, NM | Neilson, BT | Stevens, DK",2010,Approaches to estimate uncertainty in longitudinal channel water balances,JOURNAL OF HYDROLOGY,26,https://dx.doi.org/10.1016/j.jhydrol.2010.09.011
"King, DM | Perera, BJC",2013,Morris method of sensitivity analysis applied to assess the importance of input variables on urban water supply yield - A case study,JOURNAL OF HYDROLOGY,26,https://dx.doi.org/10.1016/j.jhydrol.2012.10.017
"Shin, MJ | Guillaume, JHA | Croke, BFW | Jakeman, AJ",2015,A review of foundational methods for checking the structural identifiability of models: Results for rainfall-runoff,JOURNAL OF HYDROLOGY,26,https://dx.doi.org/10.1016/j.jhydrol.2014.11.040
"Langhans, C | Govers, G | Diels, J | Leys, A | Clymans, W | Van den Putte, A | Valckx, J",2011,Experimental rainfall-runoff data: Reconsidering the concept of infiltration capacity,JOURNAL OF HYDROLOGY,26,https://dx.doi.org/10.1016/j.jhydrol.2011.01.005
"Marechal, JC | Ladouche, B | Dorfliger, N | Lachassagne, P",2008,Interpretation of pumping tests in a mixed flow karst system,WATER RESOURCES RESEARCH,26,https://dx.doi.org/10.1029/2007WR006288
"Cirpka, OA | Burger, CM | Nowak, W | Finkel, M",2004,Uncertainty and data worth analysis for the hydraulic design of funnel-and-gate systems in heterogeneous aquifers,WATER RESOURCES RESEARCH,26,https://dx.doi.org/10.1029/2004WR003352
"Wang, DD | Liu, W | Zhang, HJ",2015,Superconvergent isogeometric free vibration analysis of Euler-Bernoulli beams and Kirchhoff plates with new higher order mass matrices,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,26,https://dx.doi.org/10.1016/j.cma.2014.12.026
"Lee, E | Martins, JRRA",2012,Structural topology optimization with design-dependent pressure loads,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,26,https://dx.doi.org/10.1016/j.cma.2012.04.007
"Choi, JS | Yoo, J",2009,Simultaneous structural topology optimization of electromagnetic sources and ferromagnetic materials,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,26,https://dx.doi.org/10.1016/j.cma.2009.02.015
"Mendez, B | Velazquez, A",2004,Finite point solver for the simulation of 2-D laminar incompressible unsteady flows,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,26,https://dx.doi.org/10.1016/j.cma.2003.11.010
"Emamgolizadeh, S | Bateni, SM | Shahsavani, D | Ashrafi, T | Ghorbani, H",2015,Estimation of soil cation exchange capacity using Genetic Expression Programming (GEP) and Multivariate Adaptive Regression Splines (MARS),JOURNAL OF HYDROLOGY,26,https://dx.doi.org/10.1016/j.jhydrol.2015.08.025
"Moreo, P | Perez, MA | Garcia-Aznar, JM | Doblare, M",2007,Modelling the mechanical behaviour of living bony interfaces,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,26,https://dx.doi.org/10.1016/j.cma.2007.03.020
"Gain, AL | Paulino, GH",2012,Phase-field based topology optimization with polygonal elements: a finite volume approach for the evolution equation,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,26,https://dx.doi.org/10.1007/s00158-012-0781-9
"Rahman, S | Wei, D",2008,Design sensitivity and reliability-based structural optimization by univariate decomposition,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,26,https://dx.doi.org/10.1007/s00158-007-0133-3
"Makhija, D | Maute, K",2014,Numerical instabilities in level set topology optimization with the extended finite element method,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,26,https://dx.doi.org/10.1007/s00158-013-0982-x
"Ravalico, JK | Dandy, GC | Maier, HR",2010,Management Option Rank Equivalence (MORE) - A new method of sensitivity analysis for decision-making,ENVIRONMENTAL MODELLING & SOFTWARE,26,https://dx.doi.org/10.1016/j.envsoft.2009.06.012
"Tan, RR | Culaba, AB | Purvis, MRI",2004,POLCAGE 1.0 - a possibilistic life-cycle assessment model for evaluating alternative transportation fuels,ENVIRONMENTAL MODELLING & SOFTWARE,26,https://dx.doi.org/10.1016/j.envsoft.2003.10.004
"Jensen, JS | Nakshatrala, PB | Tortorelli, DA",2014,On the consistency of adjoint sensitivity analysis for structural optimization of linear dynamic problems,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,26,https://dx.doi.org/10.1007/s00158-013-1024-4
"Ahmadi, M | Arabi, M | Ascough, JC | Fontane, DG | Engel, BA",2014,Toward improved calibration of watershed models: Multisite multiobjective measures of information,ENVIRONMENTAL MODELLING & SOFTWARE,26,https://dx.doi.org/10.1016/j.envsoft.2014.05.012
"Wei, LY | Tang, TB | Xie, XH | Shen, WJ",2011,Truss optimization on shape and sizing with frequency constraints based on parallel genetic algorithm,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,26,https://dx.doi.org/10.1007/s00158-010-0600-0
"Zhang, SL | Zhu, P | Chen, W | Arendt, P",2013,Concurrent treatment of parametric uncertainty and metamodeling uncertainty in robust design,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,26,https://dx.doi.org/10.1007/s00158-012-0805-5
"Boufadel, MC | Xia, YQ | Li, HL",2011,Modeling solute transport and transient seepage in a laboratory beach under tidal influence,ENVIRONMENTAL MODELLING & SOFTWARE,26,https://dx.doi.org/10.1016/j.envsoft.2011.02.005
"Rassam, DW | Peeters, L | Pickett, T | Jolly, I | Holz, L",2013,"Accounting for surface-groundwater interactions and their uncertainty in river and groundwater models: A case study in the Namoi River, Australia",ENVIRONMENTAL MODELLING & SOFTWARE,26,https://dx.doi.org/10.1016/j.envsoft.2013.09.004
"Romero, CC | Hoogenboom, G | Baigorria, GA | Koo, J | Gijsman, AJ | Wood, S",2012,Reanalysis of a global soil database for crop and environmental modeling,ENVIRONMENTAL MODELLING & SOFTWARE,26,https://dx.doi.org/10.1016/j.envsoft.2012.02.018
"Dimitriadis, P | Tegos, A | Oikonomou, A | Pagana, V | Koukouvinos, A | Mamassis, N | Koutsoyiannis, D | Efstratiadis, A",2016,Comparative evaluation of 1D and quasi-2D hydraulic models based on benchmark and real-world applications for uncertainty assessment in flood mapping,JOURNAL OF HYDROLOGY,26,https://dx.doi.org/10.1016/j.jhydrol.2016.01.020
"Congedo, PM | Corre, C | Martinez, JM",2011,Shape optimization of an airfoil in a BZT flow with multiple-source uncertainties,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,25,https://dx.doi.org/10.1016/j.cma.2010.08.006
"Kang, Z | Wang, R | Tong, LY",2011,Combined optimization of bi-material structural layout and voltage distribution for in-plane piezoelectric actuation,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,25,https://dx.doi.org/10.1016/j.cma.2011.01.005
"Wan, XL | Karniadakis, GE",2009,Solving elliptic problems with non-Gaussian spatially-dependent random coefficients,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,25,https://dx.doi.org/10.1016/j.cma.2008.12.039
"Arora, B | Mohanty, BP | McGuire, JT",2011,Inverse estimation of parameters for multidomain flow models in soil columns with different macropore densities,WATER RESOURCES RESEARCH,25,https://dx.doi.org/10.1029/2010WR009451
"Tiwari, T | Laudon, H | Beven, K | Aring;gren, AM",2014,Downstream changes in DOC: Inferring contributions in the face of model uncertainties,WATER RESOURCES RESEARCH,25,https://dx.doi.org/10.1002/2013WR014275
"Chen, XH | Chen, X",2003,Sensitivity analysis and determination of streambed leakance and aquifer hydraulic properties,JOURNAL OF HYDROLOGY,25,https://dx.doi.org/10.1016/j.jhydrol.2003.08.004
"Yeh, HD | Chen, YJ",2007,Determination of skin and aquifer parameters for a slug test with wellbore-skin effect,JOURNAL OF HYDROLOGY,25,https://dx.doi.org/10.1016/j.jhydrol.2007.05.029
"Mannina, G | Viviani, G",2010,Water quality modelling for ephemeral rivers: Model development and parameter assessment,JOURNAL OF HYDROLOGY,25,https://dx.doi.org/10.1016/j.jhydrol.2010.08.015
"Xie, H | Lian, YQ",2013,Uncertainty-based evaluation and comparison of SWAT and HSPF applications to the Illinois River Basin,JOURNAL OF HYDROLOGY,25,https://dx.doi.org/10.1016/j.jhydrol.2012.12.027
"Yeh, HD | Chang, YC | Zlotnik, VA",2008,Stream depletion rate and volume from groundwater pumping in wedge-shape aquifers,JOURNAL OF HYDROLOGY,25,https://dx.doi.org/10.1016/j.jhydrol.2007.11.025
"Antanasijevic, D | Pocajt, V | Peric-Grujic, A | Ristic, M",2014,Modelling of dissolved oxygen in the Danube River using artificial neural networks and Monte Carlo Simulation uncertainty analysis,JOURNAL OF HYDROLOGY,25,https://dx.doi.org/10.1016/j.jhydrol.2014.10.009
"Vanrolleghem, PA | Mannina, G | Cosenza, A | Neumann, MB",2015,"Global sensitivity analysis for urban water quality modelling: Terminology, convergence and comparison of different methods",JOURNAL OF HYDROLOGY,25,https://dx.doi.org/10.1016/j.jhydrol.2014.12.056
"Hussain, MS | Javadi, AA | Ahangar-Asr, A | Farmani, R",2015,A surrogate model for simulation-optimization of aquifer systems subjected to seawater intrusion,JOURNAL OF HYDROLOGY,25,https://dx.doi.org/10.1016/j.jhydrol.2015.01.079
"Singh, RK | Panda, RK | Satapathy, KK | Ngachan, SV",2011,"Simulation of runoff and sediment yield from a hilly watershed in the eastern Himalaya, India using the WEPP model",JOURNAL OF HYDROLOGY,25,https://dx.doi.org/10.1016/j.jhydrol.2011.05.022
"Kurtz, W | Franssen, HJH | Vereecken, H",2012,Identification of time-variant river bed properties with the ensemble Kalman filter,WATER RESOURCES RESEARCH,25,https://dx.doi.org/10.1029/2011WR011743
"Parasuraman, K | Elshorbagy, A",2008,Toward improving the reliability of hydrologic prediction: Model structure uncertainty and its quantification using ensemble-based genetic programming framework,WATER RESOURCES RESEARCH,25,https://dx.doi.org/10.1029/2007WR006451
"Kunstmann, H | Kinzelbach, W | Siegfried, T",2002,Conditional first-order second-moment method and its application to the quantification of uncertainty in groundwater modeling,WATER RESOURCES RESEARCH,25,https://dx.doi.org/10.1029/2000WR000022
"Fonseca, A | Ames, DP | Yang, P | Botelho, C | Boaventura, R | Vilar, V",2014,Watershed model parameter estimation and uncertainty in data-limited environments,ENVIRONMENTAL MODELLING & SOFTWARE,25,https://dx.doi.org/10.1016/j.envsoft.2013.09.023
"Doltsinis, I | Kang, Z",2006,Perturbation-based stochastic FE analysis and robust design of inelastic deformation processes,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,25,https://dx.doi.org/10.1016/j.cma.2005.05.004
"Yadav, V | Rahman, S",2014,Adaptive-sparse polynomial dimensional decomposition methods for high-dimensional stochastic computing,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,25,https://dx.doi.org/10.1016/j.cma.2014.01.027
"Chen, BS | Tong, LY",2005,Thermomechanically coupled sensitivity analysis and design optimization of functionally graded materials,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,25,https://dx.doi.org/10.1016/j.cma.2004.07.005
"Xia, L | Zhu, JH | Zhang, WH | Breitkopf, P",2013,An implicit model for the integrated optimization of component layout and structure topology,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,25,https://dx.doi.org/10.1016/j.cma.2013.01.008
"Liu, P | Luo, YJ | Kang, Z",2016,Multi-material topology optimization considering interface behavior via XFEM and level set method,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,25,https://dx.doi.org/10.1016/j.cma.2016.05.016
"Shahsavani, D | Grimvall, A",2011,Variance-based sensitivity analysis of model outputs using surrogate models,ENVIRONMENTAL MODELLING & SOFTWARE,25,https://dx.doi.org/10.1016/j.envsoft.2011.01.002
"Firl, M | Wuchner, R | Bletzinger, KU",2013,Regularization of shape optimization problems using FE-based parametrization,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,24,https://dx.doi.org/10.1007/s00158-012-0843-z
"Gu, YX | Chen, BS | Zhang, HW | Grandhi, R",2002,A sensitivity analysis method for linear and nonlinear transient heat conduction with precise time integration,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,24,https://dx.doi.org/10.1007/s00158-002-0211-5
"Zheng, Y | Keller, AA",2006,Understanding parameter sensitivity and its management implications in watershed-scale water quality modeling,WATER RESOURCES RESEARCH,24,https://dx.doi.org/10.1029/2005WR004539
"Pogson, M | Hastings, A | Smith, P",2012,Sensitivity of crop model predictions to entire meteorological and soil input datasets highlights vulnerability to drought,ENVIRONMENTAL MODELLING & SOFTWARE,24,https://dx.doi.org/10.1016/j.envsoft.2011.10.008
"Sudheer, KP | Lakshmi, G | Chaubey, I",2011,Application of a pseudo simulator to evaluate the sensitivity of parameters in complex watershed models,ENVIRONMENTAL MODELLING & SOFTWARE,24,https://dx.doi.org/10.1016/j.envsoft.2010.07.007
"Loukas, A",2002,Flood frequency estimation by a derived distribution procedure,JOURNAL OF HYDROLOGY,24,https://dx.doi.org/10.1016/S0022-1694(01)00505-4
"Onate-Valdivieso, F | Sendra, JB",2010,Application of GIS and remote sensing techniques in generation of land use scenarios for hydrological modeling,JOURNAL OF HYDROLOGY,24,https://dx.doi.org/10.1016/j.jhydrol.2010.10.033
"Kim, SB | Corapcioglu, MY",2002,Contaminant transport in riverbank filtration in the presence of dissolved organic matter and bacteria: a kinetic approach,JOURNAL OF HYDROLOGY,24,https://dx.doi.org/10.1016/S0022-1694(02)00170-1
"Geza, M | Poeter, EP | McCray, JE",2009,Quantifying predictive uncertainty for a mountain-watershed model,JOURNAL OF HYDROLOGY,24,https://dx.doi.org/10.1016/j.jhydrol.2009.07.025
"Li, LP | Zhou, HY | Franssen, HJH | Gomez-Hernandez, JJ",2012,Modeling transient groundwater flow by coupling ensemble Kalman filtering and upscaling,WATER RESOURCES RESEARCH,24,https://dx.doi.org/10.1029/2010WR010214
"Rouholahnejad, E | Abbaspour, KC | Srinivasan, R | Bacu, V | Lehmann, A",2014,Water resources of the Black Sea Basin at high spatial and temporal resolution,WATER RESOURCES RESEARCH,24,https://dx.doi.org/10.1002/2013WR014132
"Zhu, GF | Su, YH | Li, X | Zhang, K | Li, CB",2013,Estimating actual evapotranspiration from an alpine grassland on Qinghai-Tibetan plateau using a two-source model and parameter uncertainty analysis by Bayesian approach,JOURNAL OF HYDROLOGY,24,https://dx.doi.org/10.1016/j.jhydrol.2012.10.006
"Razavi, S | Gupta, HV",2016,"A new framework for comprehensive, robust, and efficient global sensitivity analysis: 1. Theory",WATER RESOURCES RESEARCH,24,https://dx.doi.org/10.1002/2015WR017558
"Molson, JW | Barker, JF | Frind, EO | Schirmer, M",2002,Modeling the impact of ethanol on the persistence of benzene in gasoline-contaminated groundwater,WATER RESOURCES RESEARCH,24,https://dx.doi.org/10.1029/2001WR000589
"Cheng, HY | Sandu, A",2009,Uncertainty quantification and apportionment in air quality models using the polynomial chaos method,ENVIRONMENTAL MODELLING & SOFTWARE,24,https://dx.doi.org/10.1016/j.envsoft.2008.12.005
"Mo, XG | Liu, SX | Lin, ZH",2012,Evaluation of an ecosystem model for a wheat-maize double cropping system over the North China Plain,ENVIRONMENTAL MODELLING & SOFTWARE,24,https://dx.doi.org/10.1016/j.envsoft.2011.07.002
"Elsawwaf, M | Willems, P | Feyen, J",2010,"Assessment of the sensitivity and prediction uncertainty of evaporation models applied to Nasser Lake, Egypt",JOURNAL OF HYDROLOGY,24,https://dx.doi.org/10.1016/j.jhydrol.2010.10.002
"Newton, AC",2010,Use of a Bayesian network for Red Listing under uncertainty,ENVIRONMENTAL MODELLING & SOFTWARE,24,https://dx.doi.org/10.1016/j.envsoft.2009.07.016
"Dages, C | Voltz, M | Bsaibes, A | Prevot, L | Huttel, O | Louchart, X | Garnier, F | Negro, S",2009,Estimating the role of a ditch network in groundwater recharge in a Mediterranean catchment using a water balance approach,JOURNAL OF HYDROLOGY,24,https://dx.doi.org/10.1016/j.jhydrol.2009.07.002
"Hynds, PD | Misstear, BD | Gill, LW",2012,Development of a microbial contamination susceptibility model for private domestic groundwater sources,WATER RESOURCES RESEARCH,24,https://dx.doi.org/10.1029/2012WR012492
"Jeremiah, E | Sisson, S | Marshall, L | Mehrotra, R | Sharma, A",2011,Bayesian calibration and uncertainty analysis of hydrological models: A comparison of adaptive Metropolis and sequential Monte Carlo samplers,WATER RESOURCES RESEARCH,24,https://dx.doi.org/10.1029/2010WR010217
"Archfield, SA | Clark, M | Arheimer, B | Hay, LE | McMillan, H | Kiang, JE | Seibert, J | Hakala, K | Bock, A | Wagener, T | Farmer, WH | Andreassian, V | Attinger, S | Viglione, A | Knight, R | Markstrom, S | Over, T",2015,Accelerating advances in continental domain hydrologic modeling,WATER RESOURCES RESEARCH,24,https://dx.doi.org/10.1002/2015WR017498
"Zheng, Y | Keller, AA",2007,Uncertainty assessment in watershed-scale water quality modeling and management: 1. Framework and application of generalized likelihood uncertainty estimation (GLUE) approach,WATER RESOURCES RESEARCH,24,https://dx.doi.org/10.1029/2006WR005345
"Meng, CL | Li, ZL | Zhan, X | Shi, JC | Liu, CY",2009,Land surface temperature data assimilation and its impact on evapotranspiration estimates from the Common Land Model,WATER RESOURCES RESEARCH,24,https://dx.doi.org/10.1029/2008WR006971
"Noor, AK | Starnes, JH | Peters, JM",2000,Uncertainty analysis of composite structures,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,24,https://dx.doi.org/10.1016/S0045-7825(99)00269-8
"Paris, J | Navarrina, F | Colominas, I | Casteleiro, M",2010,Stress constraints sensitivity analysis in structural topology optimization,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,24,https://dx.doi.org/10.1016/j.cma.2010.03.010
"Soize, C | Ghanem, RG",2009,Reduced Chaos decomposition with random coefficients of vector-valued random variables and random fields,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,24,https://dx.doi.org/10.1016/j.cma.2008.12.035
"Kirsch, U | Papalambros, PY",2001,Accurate displacement derivatives for structural optimization using approximate reanalysis,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,24,https://dx.doi.org/10.1016/S0045-7825(00)00306-6
"Long, Q | Scavino, M | Tempone, R | Wang, SJ",2013,Fast estimation of expected information gains for Bayesian experimental designs based on Laplace approximations,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,24,https://dx.doi.org/10.1016/j.cma.2013.02.017
"Song, J | Shanghvi, JY | Michaleris, P",2004,Sensitivity analysis and optimization of thermo-elasto-plastic processes with applications to welding side heater design,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,24,https://dx.doi.org/10.1016/j.cma.2004.03.007
"Allix, O | Vidal, P",2002,A new multi-solution approach suitable for structural identification problems,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,24,https://dx.doi.org/10.1016/S0045-7825(02)00211-6
"Zhang, XS | Liang, FM | Yu, BB | Zong, ZL",2011,"Explicitly integrating parameter, input, and structure uncertainties into Bayesian Neural Networks for probabilistic hydrologic forecasting",JOURNAL OF HYDROLOGY,24,https://dx.doi.org/10.1016/j.jhydrol.2011.09.002
"Zhao, JP | Wang, CJ",2014,Robust structural topology optimization under random field loading uncertainty,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,23,https://dx.doi.org/10.1007/s00158-014-1119-6
"Le Cozannet, G | Rohmer, J | Cazenave, A | Idier, D | van de Wal, R | de Winter, R | Pedreros, R | Balouin, Y | Vinchon, C | Oliveros, C",2015,Evaluating uncertainties of future marine flooding occurrence as sea-level rises,ENVIRONMENTAL MODELLING & SOFTWARE,23,https://dx.doi.org/10.1016/j.envsoft.2015.07.021
"Lopes, JF | Silva, CI | Cardoso, AC",2008,"Validation of a water quality model for the Ria de Aveiro lagoon, Portugal",ENVIRONMENTAL MODELLING & SOFTWARE,23,https://dx.doi.org/10.1016/j.envsoft.2007.07.001
"Butler, MP | Reed, PM | Fisher-Vanden, K | Keller, K | Wagener, T",2014,Identifying parametric controls and dependencies in integrated assessment models using global sensitivity analysis,ENVIRONMENTAL MODELLING & SOFTWARE,23,https://dx.doi.org/10.1016/j.envsoft.2014.05.001
"Volpi, S | Diez, M | Gaul, NJ | Song, H | Iemma, U | Choi, KK | Campana, EF | Stern, F",2015,Development and validation of a dynamic metamodel based on stochastic radial basis functions and uncertainty quantification,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,23,https://dx.doi.org/10.1007/s00158-014-1128-5
"Dumont, B | Leemans, V | Mansouri, M | Bodson, B | Destain, JP | Destain, ME",2014,"Parameter identification of the STICS crop model, using an accelerated formal MCMC approach",ENVIRONMENTAL MODELLING & SOFTWARE,23,https://dx.doi.org/10.1016/j.envsoft.2013.10.022
"Zhu, JH | Zhang, WH",2006,Maximization of structural natural frequency with optimal support layout,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,23,https://dx.doi.org/10.1007/s00158-005-0593-2
"Suresh, K | Takalloozadeh, M",2013,Stress-constrained topology optimization: a topological level-set approach,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,23,https://dx.doi.org/10.1007/s00158-013-0899-4
"Moglia, M | Perez, P | Burn, S",2010,Modelling an urban water system on the edge of chaos,ENVIRONMENTAL MODELLING & SOFTWARE,23,https://dx.doi.org/10.1016/j.envsoft.2010.05.002
"Balagangadhar, D | Roy, S",2001,Design sensitivity analysis and optimization of steady fluid-thermal systems,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,23,https://dx.doi.org/10.1016/S0045-7825(01)00224-9
"Zhu, BL | Zhang, XM | Fatikow, S",2015,Structural topology and shape optimization using a level set method with distance-suppression scheme,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,23,https://dx.doi.org/10.1016/j.cma.2014.08.017
"Lucor, D | Enaux, C | Jourdren, H | Sagaut, P",2007,Stochastic design optimization: Application to reacting flows,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,23,https://dx.doi.org/10.1016/j.cma.2007.07.003
