AU,year,title,journal,citations,DOI link
"Rodrigues, DBB | Gupta, HV | Mendiondo, EM | Oliveira, PTS",2015,Assessing uncertainties in surface water security: An empirical multimodel approach,WATER RESOURCES RESEARCH,3,https://dx.doi.org/10.1002/2014WR016691
"Zhang, JJ | Li, WX | Lin, G | Zeng, LZ | Wu, LS",2017,Efficient evaluation of small failure probability in high-dimensional groundwater contaminant transport modeling via a two-stage Monte Carlo method,WATER RESOURCES RESEARCH,3,https://dx.doi.org/10.1002/2016WR019518
"Wu, JC | Hu, BX | He, CM",2004,A numerical method of moments for solute transport in a porous medium with multiscale physical and chemical heterogeneity,WATER RESOURCES RESEARCH,3,https://dx.doi.org/10.1029/2002WR001473
"Cheviron, B | Le Bissonnais, Y | Desprats, JF | Couturier, A | Gumiere, SJ | Cerdan, O | Darboux, F | Raclot, D",2011,Comparative sensitivity analysis of four distributed erosion models,WATER RESOURCES RESEARCH,3,https://dx.doi.org/10.1029/2010WR009158
"Guillaume, JHA | Helgeson, C | Elsawah, S | Jakeman, AJ | Kummu, M",2017,Toward best practice framing of uncertainty in scientific publications: A review of Water Resources Research abstracts,WATER RESOURCES RESEARCH,3,https://dx.doi.org/10.1002/2017WR020609
"Shi, F | Long, H | Zhan, M | Ou, H",2014,Uncertainty analysis on process responses of conventional spinning using finite element method,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,3,https://dx.doi.org/10.1007/s00158-014-1061-7
"Mao, DH | Cherkauer, KA | Flanagan, DC",2010,Development of a coupled soil erosion and large-scale hydrology modeling system,WATER RESOURCES RESEARCH,3,https://dx.doi.org/10.1029/2009WR008268
"Verhoog, R | Ghorbani, A | Dijkema, GPJ",2016,Modelling socio-ecological systems with MAIA: A biogas infrastructure simulation,ENVIRONMENTAL MODELLING & SOFTWARE,3,https://dx.doi.org/10.1016/j.envsoft.2016.03.011
"McDonald, KS | Tighe, M | Ryder, DS",2016,An ecological risk assessment for managing and predicting trophic shifts in estuarine ecosystems using a Bayesian network,ENVIRONMENTAL MODELLING & SOFTWARE,3,https://dx.doi.org/10.1016/j.envsoft.2016.08.014
"Garneau, C | Sauvage, S | Sanchez-Perez, JM | Lofts, S | Brito, D | Neves, R | Probst, A",2017,Modelling trace metal transfer in large rivers under dynamic hydrology: A coupled hydrodynamic and chemical equilibrium model,ENVIRONMENTAL MODELLING & SOFTWARE,3,https://dx.doi.org/10.1016/j.envsoft.2016.11.018
"Fordham, DA | Haythorne, S | Brook, BW",2016,Sensitivity Analysis of Range Dynamics Models (SARDM): Quantifying the influence of parameter uncertainty on forecasts of extinction risk from global change,ENVIRONMENTAL MODELLING & SOFTWARE,3,https://dx.doi.org/10.1016/j.envsoft.2016.05.020
"Gow, LJ | Barrett, DJ | Renzullo, LJ | Phinn, SR | O'Grady, AP",2016,A detection problem: Sensitivity and uncertainty analysis of a land surface temperature approach to detecting dynamics of water use by groundwater-dependent vegetation,ENVIRONMENTAL MODELLING & SOFTWARE,3,https://dx.doi.org/10.1016/j.envsoft.2016.09.003
"Lin, SP | Shi, L | Yang, RJ",2014,An alternative stochastic sensitivity analysis method for RBDO,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,3,https://dx.doi.org/10.1007/s00158-013-1008-4
"Jia, GF | Taflanidis, AA | Beck, JL",2015,Non-parametric stochastic subset optimization for design problems with reliability constraints,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,3,https://dx.doi.org/10.1007/s00158-015-1300-6
"Tao, YR | Han, X | Jiang, C | Guan, FJ",2011,A method to improve computational efficiency for CSSO and BLISS,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,3,https://dx.doi.org/10.1007/s00158-010-0598-3
"Wei, PF | Wang, YY | Tang, CH",2017,Time-variant global reliability sensitivity analysis of structures with both input random variables and stochastic processes,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,3,https://dx.doi.org/10.1007/s00158-016-1598-8
"Schmitt, O | Steinmann, P",2017,On curvature approximation in 2D and 3D parameter-free shape optimization,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,3,https://dx.doi.org/10.1007/s00158-016-1595-y
"Locatelli, T | Tarantola, S | Gardiner, B | Patenaude, G",2017,Variance-based sensitivity analysis of a wind risk model - Model behaviour and lessons for forest modelling,ENVIRONMENTAL MODELLING & SOFTWARE,3,https://dx.doi.org/10.1016/j.envsoft.2016.10.010
"Park, D | Kang, H | Jung, SH | Roesner, LA",2015,Reliability analysis for evaluation of factors affecting pollutant load reduction in urban stormwater BMP systems,ENVIRONMENTAL MODELLING & SOFTWARE,3,https://dx.doi.org/10.1016/j.envsoft.2015.08.010
