,year,title,copyright,AU,SO,DOI link
31,2010,"Controlling setup cost in (Q, r, L) inventory model with defective items", (C) 2009 Elsevier Inc. All rights reserved.,"Annadurai, K|Uthayakumar, R",APPLIED MATHEMATICAL MODELLING,https://dx.doi.org/10.1016/j.apm.2009.04.010
32,2015,Stability analysis of rotary power flow controller," Copyright (c) 2014 John Wiley & Sons, Ltd.","Khayami, MT|Shayanfar, H|Kazemi, A",INTERNATIONAL JOURNAL OF NUMERICAL MODELLING-ELECTRONIC NETWORKS DEVICES AND FIELDS,https://dx.doi.org/10.1002/jnm.2025
33,2010,Sediment and pollutant load modelling using an integrated urban drainage modelling toolbox: an application of City Drain,,"Rodriguez, JP|Achleitner, S|Moderl, M|Rauch, W|Maksimovic, C|McIntyre, N|Diaz-Granados, MA|Rodriguez, MS",WATER SCIENCE AND TECHNOLOGY,https://dx.doi.org/10.2166/wst.2010.139
34,2012,Sensitivity analysis for volcanic source modeling quality assessment and model selection, Elsevier Ltd. All rights reserved.,"Cannavo, F",COMPUTERS & GEOSCIENCES,https://dx.doi.org/10.1016/j.cageo.2012.03.008
35,2014,Environmental impact assessment based on dynamic fuzzy simulation, Elsevier Ltd. All rights reserved.,"Wieland, R|Gutzler, C",ENVIRONMENTAL MODELLING & SOFTWARE,https://dx.doi.org/10.1016/j.envsoft.2014.02.001
36,2009,Estimating storm discharge and water quality data uncertainty: A software tool for monitoring and modeling applications, Published by Elsevier Ltd.,"Harmel, RD|Smith, DR|King, KW|Slade, RM",ENVIRONMENTAL MODELLING & SOFTWARE,https://dx.doi.org/10.1016/j.envsoft.2008.12.006
37,2016,Model development and process simulation of postcombustion carbon capture technology with aqueous AMP/PZ solvent, Elsevier Ltd. All rights reserved.,"van der Spek, M|Arendsen, R|Ramirez, A|Faaij, A",INTERNATIONAL JOURNAL OF GREENHOUSE GAS CONTROL,https://dx.doi.org/10.1016/j.ijggc.2016.01.021
38,2016,On ISSM and leveraging the Cloud towards faster quantification of the uncertainty in ice-sheet mass balance projections, Elsevier Ltd. All rights reserved.,"Larour, E|Schlegel, N",COMPUTERS & GEOSCIENCES,https://dx.doi.org/10.1016/j.cageo.2016.08.007
39,2013,Sensitivity Analysis of Multiple Informant Models When Data Are Not Missing at Random,,"Blozis, SA|Ge, XJ|Xu, S|Natsuaki, MN|Shaw, DS|Neiderhiser, JM|Scaramella, LV|Leve, LD|Reiss, D",STRUCTURAL EQUATION MODELING-A MULTIDISCIPLINARY JOURNAL,https://dx.doi.org/10.1080/10705511.2013.769393
40,2011,Modeling the effects of completion techniques and formation heterogeneity on CO2 sequestration in shallow and deep saline aquifers,,"Yang, F|Bai, BJ|Dunn-Norman, S",ENVIRONMENTAL EARTH SCIENCES,https://dx.doi.org/10.1007/s12665-011-0908-0
41,2010,Predicting the Long-Term Performance of a Structural Best Management Practice with the BMP ToolBox Model,,"Chen, CF|Lin, JY|Kang, SF|Lee, YJ|Yang, CH",ENVIRONMENTAL ENGINEERING SCIENCE,https://dx.doi.org/10.1089/ees.2009.0105
42,2016,A GUI platform for uncertainty quantification of complex dynamical models, Published by Elsevier Ltd.,"Wang, C|Duan, QY|Tong, CH|Di, ZH|Gong, W",ENVIRONMENTAL MODELLING & SOFTWARE,https://dx.doi.org/10.1016/j.envsoft.2015.11.004
43,2006,A standard interface between simulation programs and systems analysis software,,"Reichert, P",WATER SCIENCE AND TECHNOLOGY,https://dx.doi.org/10.2166/wst.2006.029
44,2016,GTApprox: Surrogate modeling for industrial design, Elsevier Ltd. All rights reserved.,"Belyaev, M|Burnaev, E|Kapushev, E|Panov, M|Prikhodko, P|Vetrov, D|Yarotsky, D",ADVANCES IN ENGINEERING SOFTWARE,https://dx.doi.org/10.1016/j.advengsoft.2016.09.001
45,2013,Uncertainty analysis in urban drainage modelling: should we break our back for normally distributed residuals?,,"Dotto, CBS|Deletic, A|McCarthy, DT",WATER SCIENCE AND TECHNOLOGY,https://dx.doi.org/10.2166/wst.2013.360
46,2017,"The rocky road to extended simulation frameworks covering uncertainty, inversion, optimization and control", Elsevier Ltd. All rights reserved.,"Wirtz, D|Nowak, W",ENVIRONMENTAL MODELLING & SOFTWARE,https://dx.doi.org/10.1016/j.envsoft.2016.10.003
47,2017,Parameter sensitivity analysis of a 1-D cold region lake model for land-surface schemes,,"Guerrero, JL|Pernica, P|Wheater, H|Mackay, M|Spence, C",HYDROLOGY AND EARTH SYSTEM SCIENCES,https://dx.doi.org/10.5194/hess-21-6345-2017
48,2006,Discrete element representation of manure products, (c) 2005 Elsevier B.V. All rights reserved.,"Landry, H|Lague, C|Roberge, M",COMPUTERS AND ELECTRONICS IN AGRICULTURE,https://dx.doi.org/10.1016/j.compag.2005.10.004
49,2010,Uncertainty analysis for estimation of landfill emissions and data sensitivity for the input variation,,"Szemesova, J|Gera, M",CLIMATIC CHANGE,https://dx.doi.org/10.1007/s10584-010-9919-1
50,2008,Sensitivity of population viability to spatial and nonspatial parameters using grip,,"Curtis, JMR|Naujokaitis-Lewis, I",ECOLOGICAL APPLICATIONS,https://dx.doi.org/10.1890/07-1306.1
51,2016,Operational snow mapping with simplified data assimilation using the seNorge snow model, (C) 2016 Elsevier B.V. All rights reserved.,"Saloranta, TM",JOURNAL OF HYDROLOGY,https://dx.doi.org/10.1016/j.jhydrol.2016.03.061
52,2012,Standardized uncertainty analysis for hydrometry: a review of relevant approaches and implementation examples,,"Muste, M|Lee, K|Bertrand-Krajewski, JL",HYDROLOGICAL SCIENCES JOURNAL-JOURNAL DES SCIENCES HYDROLOGIQUES,https://dx.doi.org/10.1080/02626667.2012.675064
53,2015,Sensitivity analyses and simulations of a full-scale experimental membrane bioreactor system using the activated sludge model No. 3 (ASM3),,"Ruiz, LM|Rodelas, P|Perez, JI|Gomez, MA",JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART A-TOXIC/HAZARDOUS SUBSTANCES & ENVIRONMENTAL ENGINEERING,https://dx.doi.org/10.1080/10934529.2015.981122
54,2005,Scenario-based simulation of runoff-related pesticide entries into small streams on a landscape level, (C) 2005 Elsevier Inc. All rights reserved.,"Probst, M|Berenzen, N|Lentzen-Godding, A|Schulz, R",ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,https://dx.doi.org/10.1016/j.ecoenv.2005.04.012
55,2015,Using an ensemble smoother to evaluate parameter uncertainty of an integrated hydrological model of Yanqi basin, (C) 2015 Elsevier B.V. All rights reserved.,"Li, N|McLaughlin, D|Kinzelbach, W|Li, WP|Dong, XG",JOURNAL OF HYDROLOGY,https://dx.doi.org/10.1016/j.jhydrol.2015.07.024
56,2014,A comprehensive evaluation of various sensitivity analysis methods: A case study with a hydrological model, Elsevier Ltd. All rights reserved.,"Gan, YJ|Duan, QY|Gong, W|Tong, C|Sun, YW|Chu, W|Ye, AZ|Miao, CY|Di, ZH",ENVIRONMENTAL MODELLING & SOFTWARE,https://dx.doi.org/10.1016/j.envsoft.2013.09.031
57,2014,Non-stationary extreme value analysis in a changing climate,,"Cheng, LY|AghaKouchak, A|Gilleland, E|Katz, RW",CLIMATIC CHANGE,https://dx.doi.org/10.1007/s10584-014-1254-5
58,2014,A Novel Closed-Form Solution for Circular Openings in Generalized Hoek-Brown Media,,"Meng, QX|Wang, W",MATHEMATICAL PROBLEMS IN ENGINEERING,https://dx.doi.org/10.1155/2014/870835
59,2010,Numerical analysis of the unsteady flow in the near-tongue region in a volute-type centrifugal pump for different operating points, Elsevier Ltd. All rights reserved.,"Barrio, R|Parrondo, J|Blanco, E",COMPUTERS & FLUIDS,https://dx.doi.org/10.1016/j.compfluid.2010.01.001
60,2017,ODM: an analytical solution-based tool for reacting oxygen diffusion modelling in mine spoils,,"Bahrami, S|Ardejani, FD",ENVIRONMENTAL EARTH SCIENCES,https://dx.doi.org/10.1007/s12665-017-6389-z
61,2015,A 2-D process-based model for suspended sediment dynamics: a first step towards ecological modeling,,"Achete, FM|van der Wegen, M|Roelvink, D|Jaffe, B",HYDROLOGY AND EARTH SYSTEM SCIENCES,https://dx.doi.org/10.5194/hess-19-2837-2015
62,2017,Modeling Nitrogen Dynamics in a Waste Stabilization Pond System Using Flexible Modeling Environment with MCMC,,"Mukhtar, H|Lin, YP|Shipin, OV|Petway, JR",INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,https://dx.doi.org/10.3390/ijerph14070765
63,2015,Pi 4U: A high performance computing framework for Bayesian uncertainty quantification of complex models, (C) 2014 Elsevier Inc. All rights reserved.,"Hadjidoukas, PE|Angelikopoulos, P|Papadimitriou, C|Koumoutsakos, P",JOURNAL OF COMPUTATIONAL PHYSICS,https://dx.doi.org/10.1016/j.jcp.2014.12.006
64,2014,SGEMS-UQ: An uncertainty quantification toolkit for SGEMS, Elsevier Ltd. All rights reserved.,"Li, L|Boucher, A|Caers, J",COMPUTERS & GEOSCIENCES,https://dx.doi.org/10.1016/j.cageo.2013.09.009
65,2007,"MEDOR, a didactic tool to support interpretation of bioassay data after internal contamination by actinides",,"Miele, A|Blanchin, N|Raynaud, P|Quesne, B|Giraud, JM|Fottorino, R|Berard, P|Ansoborlo, E|Franck, D|Blanchardon, E|Vathaire, CCD|Lebaron-Jacobs, L|Poncy, JL|Piechowski, J|Fritsch, P",RADIATION PROTECTION DOSIMETRY,https://dx.doi.org/10.1093/rpd/ncm288
66,2006,Kinetic model for the degradation of MTBE by Fenton's oxidation,,"Al Ananzeh, N|Bergendahl, JA|Thompson, RW",ENVIRONMENTAL CHEMISTRY,https://dx.doi.org/10.1071/EN05044
67,2008,Modeling of radionuclide transport through repository components using finite volume finite element and multidomain methods, Elsevier Ltd. All rights reserved.,"Mathieu, G|Dymitrowska, M|Bourgeois, M",PHYSICS AND CHEMISTRY OF THE EARTH,https://dx.doi.org/10.1016/j.pce.2008.10.041
68,2009,IPH-TRIM3D-PCLake: A three-dimensional complex dynamic model for subtropical aquatic ecosystems, Elsevier Ltd. All rights reserved.,"Fragoso, CR|van Nes, EH|Janse, JH|Marques, DD",ENVIRONMENTAL MODELLING & SOFTWARE,https://dx.doi.org/10.1016/j.envsoft.2009.05.006
69,2010,The decision model of task allocation for constrained stochastic distributed systems, Elsevier Ltd. All rights reserved.,"Jou, CC",COMPUTERS & INDUSTRIAL ENGINEERING,https://dx.doi.org/10.1016/j.cie.2009.04.004
70,2006,Variance-based sensitivity analysis of the probability of hydrologically induced slope instability, Elsevier Ltd. All rights reserved.,"Hamm, NAS|Hall, JW|Anderson, MG",COMPUTERS & GEOSCIENCES,https://dx.doi.org/10.1016/j.cageo.2005.10.007
71,2005,Applicability of neuro-fuzzy techniques in predicting ground-water vulnerability: a GIS-based sensitivity analysis, (c) 2004 Elsevier B.V. All rights reserved.,"Dixon, B",JOURNAL OF HYDROLOGY,https://dx.doi.org/10.1016/j.jhydrol.2004.11.010
72,2010,INTEGRATION OF UNCERTAINTIES INTO INTERNAL CONTAMINATION MONITORING,,"Davesne, E|Casanova, P|Chojnacki, E|Paquet, F|Blanchardon, E",HEALTH PHYSICS,https://dx.doi.org/10.1097/HP.0b013e3181cd3d47
73,2015,PUQ; A code for non-intrusive uncertainty propagation in computer simulations, (C) 2015 Elsevier B.V. All rights reserved.,"Hunt, M|Haley, B|McLennan, M|Koslowski, M|Murthy, J|Strachan, A",COMPUTER PHYSICS COMMUNICATIONS,https://dx.doi.org/10.1016/j.cpc.2015.04.011
74,2005,Sensitivity testing of a model for exploring water resources utilisation and management options, Elsevier Ltd. All rights reserved.,"Merritt, WS|Croke, BFW|Jakeman, AJ",ENVIRONMENTAL MODELLING & SOFTWARE,https://dx.doi.org/10.1016/j.envsoft.2004.09.011
75,2011,Automatic differentiation strategy for the local sensitivity analysis of a one-dimensional hydraulic model," Copyright (C) 2010 John Wiley & Sons, Ltd.","Souhar, O|Faure, JB",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN FLUIDS,https://dx.doi.org/10.1002/fld.2263
76,2011,ASSESSMENT OF COLLOCATION AND GALERKIN APPROACHES TO LINEAR DIFFUSION EQUATIONS WITH RANDOM DATA,,"Elman, HC|Miller, CW|Phipps, ET|Tuminaro, RS",INTERNATIONAL JOURNAL FOR UNCERTAINTY QUANTIFICATION,https://dx.doi.org/10.1615/Int.J.UncertaintyQuantification.v1.i1.20
77,2016,MINFIT: A Spreadsheet-Based Tool for Parameter Estimation in an Equilibrium Speciation Software Program,,"Xie, XF|Giammar, DE|Wang, ZM",ENVIRONMENTAL SCIENCE & TECHNOLOGY,https://dx.doi.org/10.1021/acs.est.6b03399
78,2014,FReET: Software for the statistical and reliability analysis of engineering problems and FReET-D: Degradation module, Elsevier Ltd. All rights reserved.,"Novak, D|Vorechovsky, M|Teply, B",ADVANCES IN ENGINEERING SOFTWARE,https://dx.doi.org/10.1016/j.advengsoft.2013.06.011
79,2003,Uncertainty analysis of hydrologic and water quality predictions for a small watershed using SWAT2000,,"Sohrabi, TM|Shirmohammadi, A|Chu, TW|Montas, H|Nejadhashemi, AP",ENVIRONMENTAL FORENSICS,https://dx.doi.org/10.1080/714044368
80,2007,Evaluation of urban stormwater quality models,,"Kanso, A|Tassin, B|Chebbo, G",HOUILLE BLANCHE-REVUE INTERNATIONALE DE L EAU,https://dx.doi.org/10.1051/lhb:2007025
81,2016,A software framework for probabilistic sensitivity analysis for computationally expensive models, Elsevier Ltd. All rights reserved.,"Vu-Bac, N|Lahmer, T|Zhuang, X|Nguyen-Thoi, T|Rabczuk, T",ADVANCES IN ENGINEERING SOFTWARE,https://dx.doi.org/10.1016/j.advengsoft.2016.06.005
82,2013,Analyzing the effects of geological and parameter uncertainty on prediction of groundwater head and travel time,,"He, X|Sonnenborg, TO|Jorgensen, F|Hoyer, AS|Moller, RR|Jensen, KH",HYDROLOGY AND EARTH SYSTEM SCIENCES,https://dx.doi.org/10.5194/hess-17-3245-2013
83,2009,GUI-HDMR - A software tool for global sensitivity analysis of complex models, Elsevier Ltd. All rights reserved.,"Ziehn, T|Tomlin, AS",ENVIRONMENTAL MODELLING & SOFTWARE,https://dx.doi.org/10.1016/j.envsoft.2008.12.002
84,2015,"Understanding the Day Cent model: Calibration, sensitivity, and identifiability through inverse modeling", Elsevier Ltd. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/).,"Necpalova, M|Anex, RP|Fienen, MN|Del Grosso, SJ|Castellano, MJ|Sawyer, JE|Iqbal, J|Pantoja, JL|Barker, DW",ENVIRONMENTAL MODELLING & SOFTWARE,https://dx.doi.org/10.1016/j.envsoft.2014.12.011
85,2012,An environmental and economic analysis for geotube coastal structures retaining dredge material, (C) 2012 Elsevier B.V. All rights reserved.,"Sheehan, C|Harrington, J",RESOURCES CONSERVATION AND RECYCLING,https://dx.doi.org/10.1016/j.resconrec.2012.01.011
86,2009,The effect of field conditions on low Reynolds number flow in a wetland, Elsevier Ltd. All rights reserved.,"Burke, EN|Wadzuk, BM",WATER RESEARCH,https://dx.doi.org/10.1016/j.watres.2008.10.027
87,2015,A Matlab toolbox for Global Sensitivity Analysis, Published by Elsevier Ltd.,"Pianosi, F|Sarrazin, F|Wagener, T",ENVIRONMENTAL MODELLING & SOFTWARE,https://dx.doi.org/10.1016/j.envsoft.2015.04.009
88,2015,"Parameter sensitivity analysis and optimization of Noah land surface model with field measurements from Huaihe River Basin, China",,"Hou, T|Zhu, YH|Lu, HS|Sudicky, E|Yu, ZB|Ouyang, F",STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,https://dx.doi.org/10.1007/s00477-015-1033-5
89,2009,Using a Monte Carlo approach to evaluate seawater intrusion in the Oristano coastal aquifer: A case study from the AQUAGRID collaborative computing platform, Elsevier Ltd. All rights reserved.,"Lecca, G|Cau, P",PHYSICS AND CHEMISTRY OF THE EARTH,https://dx.doi.org/10.1016/j.pce.2009.03.002
90,2002,Optimization of biofiltration for odor control: Model development and parameter sensitivity,,"Li, HB|Crittenden, JC|Mihelcic, JR|Hautakangas, H",WATER ENVIRONMENT RESEARCH,https://dx.doi.org/10.2175/106143002X139703
91,2013,Modelling of groundwater infiltration into sewer systems,,"Karpf, C|Krebs, P",URBAN WATER JOURNAL,https://dx.doi.org/10.1080/1573062X.2012.724077
92,2015,Uncertainties propagations in 1D hydraulic modeling,,"Nguyen, TM|Richet, Y|Balayn, P|Bardet, L",HOUILLE BLANCHE-REVUE INTERNATIONALE DE L EAU,https://dx.doi.org/10.1051/lhb/20150055
93,2006,Colloid-facilitated solute transport in variably saturated porous media: Numerical model and experimental verification,,"Simunek, J|He, CM|Pang, LP|Bradford, SA",VADOSE ZONE JOURNAL,https://dx.doi.org/10.2136/vzj2005.0151
94,2009,Kinetic modelling of methane decomposition in a tubular solar reactor, (c) 2008 Elsevier B.V. All rights reserved.,"Rodat, S|Abanades, S|Coulie, J|Flamant, G",CHEMICAL ENGINEERING JOURNAL,https://dx.doi.org/10.1016/j.cej.2008.09.008
