,AU,year,title,journal,citations,DOI link
24,"Novak, D | Vorechovsky, M | Teply, B",2014,FReET: Software for the statistical and reliability analysis of engineering problems and FReET-D: Degradation module,ADVANCES IN ENGINEERING SOFTWARE,29,https://dx.doi.org/10.1016/j.advengsoft.2013.06.011
14,"Burger, G | Sitzenfrei, R | Kleidorfer, M | Rauch, W",2014,Parallel flow routing in SWMM 5,ENVIRONMENTAL MODELLING & SOFTWARE,29,https://dx.doi.org/10.1016/j.envsoft.2013.11.002
15,"Brown, HE | Huth, NI | Holzworth, DP | Teixeira, EI | Zyskowski, RF | Hargreaves, JNG | Moot, DJ",2014,Plant Modelling Framework: Software for building and running crop models on the APSIM platform,ENVIRONMENTAL MODELLING & SOFTWARE,28,https://dx.doi.org/10.1016/j.envsoft.2014.09.005
18,"Yeh, HD | Chen, YJ",2007,Determination of skin and aquifer parameters for a slug test with wellbore-skin effect,JOURNAL OF HYDROLOGY,25,https://dx.doi.org/10.1016/j.jhydrol.2007.05.029
2,"Hamm, NAS | Hall, JW | Anderson, MG",2006,Variance-based sensitivity analysis of the probability of hydrologically induced slope instability,COMPUTERS & GEOSCIENCES,23,https://dx.doi.org/10.1016/j.cageo.2005.10.007
30,"Reichert, P",2006,A standard interface between simulation programs and systems analysis software,WATER SCIENCE AND TECHNOLOGY,19,https://dx.doi.org/10.2166/wst.2006.029
31,"Mair, M | Sitzenfrei, R | Kleidorfer, M | Moderl, M | Rauch, W",2012,GIS-based applications of sensitivity analysis for sewer models,WATER SCIENCE AND TECHNOLOGY,18,https://dx.doi.org/10.2166/wst.2012.954
19,"Trigg, MA | Cook, PG | Brunner, P",2014,Groundwater fluxes in a shallow seasonal wetland pond: The effect of bathymetric uncertainty on predicted water and solute balances,JOURNAL OF HYDROLOGY,9,https://dx.doi.org/10.1016/j.jhydrol.2014.06.020
25,"Panayirci, HM",2010,Efficient solution for Galerkin-based polynomial chaos expansion systems,ADVANCES IN ENGINEERING SOFTWARE,9,https://dx.doi.org/10.1016/j.advengsoft.2010.09.004
32,"Rodriguez, JP | Achleitner, S | Moderl, M | Rauch, W | Maksimovic, C | McIntyre, N | Diaz-Granados, MA | Rodriguez, MS",2010,Sediment and pollutant load modelling using an integrated urban drainage modelling toolbox: an application of City Drain,WATER SCIENCE AND TECHNOLOGY,8,https://dx.doi.org/10.2166/wst.2010.139
20,"Saloranta, TM",2016,Operational snow mapping with simplified data assimilation using the seNorge snow model,JOURNAL OF HYDROLOGY,8,https://dx.doi.org/10.1016/j.jhydrol.2016.03.061
26,"Belyaev, M | Burnaev, E | Kapushev, E | Panov, M | Prikhodko, P | Vetrov, D | Yarotsky, D",2016,GTApprox: Surrogate modeling for industrial design,ADVANCES IN ENGINEERING SOFTWARE,7,https://dx.doi.org/10.1016/j.advengsoft.2016.09.001
27,"Verdu, F | Villacampa, Y",2002,A computer program for a Monte Carlo analysis of sensitivity in equations of environmental modelling obtained from experimental data,ADVANCES IN ENGINEERING SOFTWARE,7,https://dx.doi.org/10.1016/S0965-9978(02)00023-6
28,"Saleeb, AF | Marks, JR | Wilt, TE | Arnold, SM",2004,Interactive software for material parameter characterization of advanced engineering constitutive models,ADVANCES IN ENGINEERING SOFTWARE,6,https://dx.doi.org/10.1016/j.advengsoft.2004.03.010
33,"Dotto, CBS | Deletic, A | McCarthy, DT",2013,Uncertainty analysis in urban drainage modelling: should we break our back for normally distributed residuals?,WATER SCIENCE AND TECHNOLOGY,3,https://dx.doi.org/10.2166/wst.2013.360
21,"Li, N | McLaughlin, D | Kinzelbach, W | Li, WP | Dong, XG",2015,Using an ensemble smoother to evaluate parameter uncertainty of an integrated hydrological model of Yanqi basin,JOURNAL OF HYDROLOGY,3,https://dx.doi.org/10.1016/j.jhydrol.2015.07.024
3,"Peckham, SD | Kelbert, A | Hill, MC | Hutton, EWH",2016,Towards uncertainty quantification and parameter estimation for Earth system models in a component-based modeling framework,COMPUTERS & GEOSCIENCES,3,https://dx.doi.org/10.1016/j.cageo.2016.03.005
4,"Larour, E | Schlegel, N",2016,On ISSM and leveraging the Cloud towards faster quantification of the uncertainty in ice-sheet mass balance projections,COMPUTERS & GEOSCIENCES,2,https://dx.doi.org/10.1016/j.cageo.2016.08.007
22,"Meeks, J | Moeck, C | Brunner, P | Hunkeler, D",2017,Infiltration under snow cover: Modeling approaches and predictive uncertainty,JOURNAL OF HYDROLOGY,2,https://dx.doi.org/10.1016/j.jhydrol.2016.12.042
5,"Li, L | Boucher, A | Caers, J",2014,SGEMS-UQ: An uncertainty quantification toolkit for SGEMS,COMPUTERS & GEOSCIENCES,1,https://dx.doi.org/10.1016/j.cageo.2013.09.009
34,"Marsili-Libelli, S | D'Ardes, V | Bondi, C",2008,Development of a open-vessel single-stage respirometer,WATER SCIENCE AND TECHNOLOGY,1,https://dx.doi.org/10.2166/wst.2008.149
